"Calendar year","Donor code","Donor","Math expression"
"2012","USA","United States of America","5,436,793,492"
"2012","GBR","United Kingdom of Great Britain and Northern Ireland","2,155,731,422"
"2012","JPN","Japan","2,082,855,855"
"2012","NOR","Norway","1,267,485,318"
"2012","SWE","Sweden","1,160,907,038"
"2012","DEU","Germany","1,112,907,368"
"2012","NLD","Netherlands","1,045,551,831"
"2012","CAN","Canada","1,030,513,714"
"2012","AUS","Australia","799,327,558"
"2012","FRA","France","531,274,090"
"2012","DNK","Denmark","495,025,883"
"2012","CHE","Switzerland","459,097,505"
"2012","BRA","Brazil","454,388,124"
"2012","ITA","Italy","441,345,095"
"2012","ARG","Argentina","395,703,663"
"2012","ESP","Spain","383,436,186"
"2012","FIN","Finland","317,730,107"
"2012","BEL","Belgium","281,796,944"
"2012","KOR","Republic of Korea","268,840,087"
"2012","COL","Colombia","258,258,485"
"2012","SAU","Saudi Arabia","236,683,213"
"2012","CHN","China","233,927,301"
"2012","MEX","Mexico","178,915,602"
"2012","IRL","Ireland","167,194,826"
"2012","RUS","Russian Federation","157,581,258"
"2012","PER","Peru","97,994,185"
"2012","LUX","Luxembourg","96,990,831"
"2012","NZL","New Zealand","79,100,563"
"2012","AUT","Austria","77,529,090"
"2012","TUR","Turkey","72,085,529"
"2012","IND","India","70,324,446"
"2012","HND","Honduras","65,817,820"
"2012","EGY","Egypt","63,226,468"
"2012","VEN","Venezuela (Bolivarian Republic of)","60,751,325"
"2012","ARE","United Arab Emirates","54,086,049"
"2012","POL","Poland","54,071,161"
"2012","PAN","Panama","46,922,545"
"2012","GRC","Greece","46,581,406"
"2012","PAK","Pakistan","44,757,984"
"2012","ZAF","South Africa","42,434,282"
"2012","KWT","Kuwait","41,909,519"
"2012","PRT","Portugal","34,331,737"
"2012","SLV","El Salvador","33,752,592"
"2012","IDN","Indonesia","30,003,705"
"2012","IRQ","Iraq","28,949,852"
"2012","MYS","Malaysia","26,149,979"
"2012","CZE","Czech Republic","25,654,853"
"2012","NGA","Nigeria","24,925,099"
"2012","BGD","Bangladesh","24,533,446"
"2012","ISR","Israel","23,758,984"
"2012","SGP","Singapore","23,629,147"
"2012","CYP","Cyprus","22,816,977"
"2012","CHL","Chile","22,779,642"
"2012","THA","Thailand","20,748,944"
"2012","HUN","Hungary","20,533,110"
"2012","PRY","Paraguay","18,665,899"
"2012","LBY","Libya","18,142,684"
"2012","COG","Congo","17,767,350"
"2012","AGO","Angola","17,518,550"
"2012","MWI","Malawi","17,128,459"
"2012","DOM","Dominican Republic","17,114,737"
"2012","MAR","Morocco","16,546,544"
"2012","DZA","Algeria","15,802,507"
"2012","PHL","Philippines","15,483,557"
"2012","GTM","Guatemala","15,213,053"
"2012","ROU","Romania","14,940,151"
"2012","URY","Uruguay","14,344,648"
"2012","QAT","Qatar","13,589,534"
"2012","IRN","Iran (Islamic Republic of)","13,072,060"
"2012","ZWE","Zimbabwe","10,959,603"
"2012","SVK","Slovakia","10,946,485"
"2012","SWZ","Swaziland","10,897,317"
"2012","KAZ","Kazakhstan","10,868,545"
"2012","AFG","Afghanistan","10,851,052"
"2012","OMN","Oman","10,425,395"
"2012","LBN","Lebanon","10,008,017"
"2012","HTI","Haiti","9,390,867"
"2012","AZE","Azerbaijan","9,301,573"
"2012","CUB","Cuba","9,271,724"
"2012","ECU","Ecuador","9,061,753"
"2012","BEN","Benin","8,619,497"
"2012","LBR","Liberia","8,581,958"
"2012","HRV","Croatia","8,410,312"
"2012","CIV","Cote d'Ivoire","8,230,811"
"2012","TCD","Chad","7,911,083"
"2012","HKG","Hong Kong China (c)","7,057,933"
"2012","SVN","Slovenia","7,016,274"
"2012","UKR","Ukraine","6,852,124"
"2012","SLE","Sierra Leone","6,813,342"
"2012","LKA","Sri Lanka","6,747,045"
"2012","SEN","Senegal","6,608,332"
"2012","EST","Estonia","6,318,108"
"2012","LTU","Lithuania","6,225,588"
"2012","BHR","Bahrain","6,214,347"
"2012","KEN","Kenya","6,042,014"
"2012","CRI","Costa Rica","5,851,038"
"2012","NPL","Nepal","5,412,000"
"2012","TGO","Togo","5,299,472"
"2012","ISL","Iceland","5,179,685"
"2012","NAM","Namibia","5,108,935"
"2012","BOL","Bolivia (Plurinational State of)","4,937,527"
"2012","COD","Democratic Republic of the Congo","4,772,620"
"2012","MKD","The former Yugoslav Republic of Macedonia","4,753,988"
"2012","GAB","Gabon","4,681,497"
"2012","TLS","Timor-Leste","4,655,828"
"2012","GNQ","Equatorial Guinea","4,479,804"
"2012","MCO","Monaco","4,427,744"
"2012","VNM","Viet Nam","4,424,646"
"2012","TTO","Trinidad and Tobago","4,384,240"
"2012","CMR","Cameroon","4,351,479"
"2012","MLT","Malta","3,866,042"
"2012","BGR","Bulgaria","3,802,373"
"2012","SRB","Serbia","3,725,977"
"2012","BHS","Bahamas","3,588,080"
"2012","ETH","Ethiopia","3,550,902"
"2012","TWN","Chinese Taipei","3,530,501"
"2012","TUN","Tunisia","3,492,508"
"2012","SYR","Syrian Arab Republic","3,407,293"
"2012","GIN","Guinea","3,405,681"
"2012","SOM","Somalia","3,163,252"
"2012","MHL","Marshall Islands","2,988,219"
"2012","JOR","Jordan","2,981,655"
"2012","ZMB","Zambia","2,960,004"
"2012","NIC","Nicaragua","2,904,061"
"2012","BLR","Belarus","2,858,606"
"2012","LIE","Liechtenstein","2,852,289"
"2012","UGA","Uganda","2,752,851"
"2012","BDI","Burundi","2,706,996"
"2012","LVA","Latvia","2,631,780"
"2012","SDN","Sudan","2,513,771"
"2012","LSO","Lesotho","2,354,153"
"2012","RWA","Rwanda","2,285,703"
"2012","KHM","Cambodia","2,198,444"
"2012","BWA","Botswana","2,196,102"
"2012","ALB","Albania","2,090,260"
"2012","MAC","The special administrative region of Macao China","2,033,022"
"2012","GHA","Ghana","2,017,447"
"2012","ARM","Armenia","1,998,321"
"2012","GEO","Georgia","1,784,456"
"2012","MUS","Mauritius","1,752,778"
