"Calendar year","Donor code","Donor","Math expression"
"2013","USA","United States of America","7,680,181,185"
"2013","GBR","United Kingdom of Great Britain and Northern Ireland","3,051,479,808"
"2013","JPN","Japan","3,019,866,718"
"2013","DEU","Germany","1,884,379,679"
"2013","CAN","Canada","1,571,880,275"
"2013","SWE","Sweden","1,266,903,551"
"2013","NOR","Norway","1,255,781,178"
"2013","FRA","France","1,053,720,774"
"2013","NLD","Netherlands","1,038,703,640"
"2013","ITA","Italy","820,218,035"
"2013","AUS","Australia","786,820,647"
"2013","CHN","China","699,890,371"
"2013","BRA","Brazil","655,009,832"
"2013","CHE","Switzerland","632,358,538"
"2013","DNK","Denmark","631,575,285"
"2013","ESP","Spain","574,472,450"
"2013","KOR","Republic of Korea","501,648,263"
"2013","RUS","Russian Federation","406,758,793"
"2013","FIN","Finland","400,330,466"
"2013","ARG","Argentina","379,577,209"
"2013","BEL","Belgium","378,665,997"
"2013","KWT","Kuwait","332,021,061"
"2013","SAU","Saudi Arabia","289,222,616"
"2013","COL","Colombia","241,756,948"
"2013","PER","Peru","211,205,462"
"2013","IRL","Ireland","196,324,089"
"2013","MEX","Mexico","189,629,251"
"2013","AUT","Austria","163,265,195"
"2013","LUX","Luxembourg","112,904,479"
"2013","GRC","Greece","110,409,874"
"2013","ARE","United Arab Emirates","109,772,995"
"2013","TUR","Turkey","105,245,734"
"2013","IND","India","101,629,871"
"2013","VEN","Venezuela (Bolivarian Republic of)","95,252,690"
"2013","NZL","New Zealand","80,597,405"
"2013","POL","Poland","78,080,929"
"2013","PAK","Pakistan","69,722,953"
"2013","PRT","Portugal","67,971,119"
"2013","SLV","El Salvador","63,368,809"
"2013","ZAF","South Africa","60,705,078"
"2013","EGY","Egypt","55,940,405"
"2013","DOM","Dominican Republic","55,723,267"
"2013","ISR","Israel","52,584,398"
"2013","NGA","Nigeria","52,295,965"
"2013","SGP","Singapore","50,276,639"
"2013","CZE","Czech Republic","45,332,648"
"2013","PAN","Panama","41,442,099"
"2013","CHL","Chile","33,105,416"
"2013","QAT","Qatar","29,799,615"
"2013","MYS","Malaysia","29,508,963"
"2013","HUN","Hungary","28,779,084"
"2013","LBY","Libya","28,211,171"
"2013","IDN","Indonesia","27,959,583"
"2013","CYP","Cyprus","26,967,611"
"2013","THA","Thailand","25,177,908"
"2013","MAR","Morocco","23,286,099"
"2013","JAM","Jamaica","22,392,108"
"2013","URY","Uruguay","22,300,865"
"2013","ROU","Romania","21,862,806"
"2013","IRN","Iran (Islamic Republic of)","21,415,085"
"2013","IRQ","Iraq","20,799,023"
"2013","OMN","Oman","20,322,494"
"2013","PRY","Paraguay","18,244,498"
"2013","DZA","Algeria","16,403,977"
"2013","SVK","Slovakia","16,168,600"
"2013","LBN","Lebanon","15,959,110"
"2013","SVN","Slovenia","15,678,752"
"2013","CRI","Costa Rica","15,658,506"
"2013","ARM","Armenia","15,525,967"
"2013","GTM","Guatemala","15,282,033"
"2013","AFG","Afghanistan","14,900,068"
"2013","ECU","Ecuador","14,684,721"
"2013","HND","Honduras","14,448,865"
"2013","BGD","Bangladesh","14,095,579"
"2013","HTI","Haiti","13,628,328"
"2013","KAZ","Kazakhstan","12,533,131"
"2013","PHL","Philippines","12,047,830"
"2013","HRV","Croatia","11,526,997"
"2013","KEN","Kenya","9,852,688"
"2013","ISL","Iceland","9,843,107"
"2013","COG","Congo","9,484,583"
"2013","EST","Estonia","8,663,514"
"2013","AZE","Azerbaijan","8,589,254"
"2013","GNQ","Equatorial Guinea","8,478,190"
"2013","SLE","Sierra Leone","8,456,949"
"2013","AGO","Angola","8,448,668"
"2013","UKR","Ukraine","8,229,224"
"2013","JOR","Jordan","8,067,048"
"2013","LBR","Liberia","8,035,752"
"2013","HKG","Hong Kong China (c)","7,454,239"
"2013","MDG","Madagascar","7,357,088"
"2013","TTO","Trinidad and Tobago","7,312,988"
"2013","BHR","Bahrain","7,302,585"
"2013","CMR","Cameroon","6,826,493"
"2013","LTU","Lithuania","6,685,812"
"2013","BOL","Bolivia (Plurinational State of)","6,347,820"
"2013","CIV","Cote d'Ivoire","5,889,664"
"2013","CUB","Cuba","5,866,930"
"2013","MKD","The former Yugoslav Republic of Macedonia","5,821,080"
"2013","BGR","Bulgaria","5,305,363"
"2013","BIH","Bosnia and Herzegovina","5,253,134"
"2013","COD","Democratic Republic of the Congo","5,209,185"
"2013","VNM","Viet Nam","5,184,134"
"2013","BHS","Bahamas","5,084,790"
"2013","MCO","Monaco","4,862,662"
"2013","MLT","Malta","4,814,209"
"2013","SOM","Somalia","4,767,474"
"2013","SRB","Serbia","4,350,138"
"2013","ZMB","Zambia","4,322,040"
"2013","GHA","Ghana","4,275,451"
"2013","TUN","Tunisia","4,149,665"
"2013","BLR","Belarus","4,146,430"
"2013","GAB","Gabon","4,127,804"
"2013","NAM","Namibia","3,981,742"
"2013","LVA","Latvia","3,957,597"
"2013","TWN","Chinese Taipei","3,744,366"
"2013","BWA","Botswana","3,657,210"
"2013","NPL","Nepal","3,616,385"
"2013","KHM","Cambodia","3,578,704"
"2013","MHL","Marshall Islands","3,492,678"
