"Calendar year","Donor code","Donor","Math expression"
"2015","USA","United States of America","9,921,344,448"
"2015","GBR","United Kingdom of Great Britain and Northern Ireland","3,167,022,604"
"2015","JPN","Japan","2,850,205,870"
"2015","DEU","Germany","2,237,436,630"
"2015","CAN","Canada","1,343,252,911"
"2015","SWE","Sweden","1,152,420,715"
"2015","FRA","France","1,127,233,874"
"2015","NLD","Netherlands","1,042,877,141"
"2015","NOR","Norway","1,000,334,574"
"2015","CHN","China","923,061,229"
"2015","ITA","Italy","914,416,044"
"2015","BRA","Brazil","858,064,476"
"2015","AUS","Australia","705,204,970"
"2015","CHE","Switzerland","703,009,725"
"2015","SAU","Saudi Arabia","524,718,541"
"2015","DNK","Denmark","502,967,193"
"2015","RUS","Russian Federation","497,904,430"
"2015","KOR","Republic of Korea","497,674,932"
"2015","ESP","Spain","488,089,621"
"2015","BEL","Belgium","435,327,658"
"2015","ARG","Argentina","358,503,199"
