Agency description,Year,Expenditure,Acronym,Category
Department of Peacekeeping Operations,2016,"8,876,176,000",DPKO,Secretariat
United Nations,2016,"5,713,034,000",UN,United Nations
United Nations Children’s Fund,2016,"5,427,255,034",UNICEF,General Assembly
World Food Programme,2016,"5,355,409,043",WFP,General Assembly
United Nations Development Programme,2016,"4,659,525,828",UNDP,General Assembly
Office of the United Nations High Commissioner for Refugees,2016,"3,846,924,119",UNHCR,General Assembly
World Health Organization,2016,"2,471,062,278",WHO,Economic and Social Council
International Organization for Migration,2016,"1,602,307,417",IOM,General Assembly
Pan American Health Organization,2016,"1,363,470,773",PAHO,Economic and Social Council
UN Relief and Works Agency for Palestine Refugees,2016,"1,316,762,306",UNRWA,General Assembly
Food and Agriculture Organization of the United Nations,2016,"1,201,818,140",FAO,Economic and Social Council
United Nations Population Fund,2016,"922,517,792",UNFPA,General Assembly
United Nations Office for Project Services,2016,"769,873,000",UNOPS,General Assembly
International Labour Organization,2016,"674,937,000",ILO,Economic and Social Council
"United Nations Educational, Scientific and Cultural Organization",2016,"663,683,714",UNESCO,Economic and Social Council
United Nations Environment Programme,2016,"561,342,000",UNEP,General Assembly
International Atomic Energy Agency,2016,"549,644,351",IAEA,General Assembly
World intellectual Property Organization,2016,"347,037,073",WIPO,Economic and Social Council
UN Women,2016,"339,801,000",UN-WOMEN,General Assembly
World Trade Organization,2016,"249,234,707",WTO,General Assembly
United Nations Office on Drugs and Crime,2016,"241,906,000",UNODC,Secretariat
United Nations Industrial Development Organization,2016,"235,511,425",UNIDO,Economic and Social Council
International Civil Aviation Organization,2016,"192,346,640",ICAO,Economic and Social Council
United Nations Human Settlements Programme,2016,"186,433,318",UN-HABITAT,General Assembly
 International Telecommunication Union,2016,"183,604,878",ITU,Economic and Social Council
Joint United Nations Programme on HIV/AIDS,2016,"181,750,055",UNAIDS,Economic and Social Council
International Fund for Agricultural Development,2016,"169,727,000",IFAD,Economic and Social Council
World Meteorological Organization,2016,"98,226,341",WMO,Economic and Social Council
International Trade Centre UNCTAD/WTO,2016,"91,197,000",ITC,General Assembly
United Nations University,2016,"89,986,553",UNU,General Assembly
Universal Postal Union,2016,"77,403,536",UPU,Economic and Social Council
International Maritime Organization,2016,"57,821,457",IMO,Economic and Social Council
United Nations Institute for Training and Research,2016,"23,854,000",UNITAR,General Assembly
World Tourism Organization,2016,"23,171,332",UNWTO,Economic and Social Council
